0.0000000000e+00 	 8.9193800664e-02 	 2.5617628581e+00 	 1.5359464233e+00 	 -2.2005136233e-04 
1.1095123180e+00 	 1.2799236234e-01 	 3.6707565268e+00 	 1.5358469058e+00 	 -2.2005136233e-04 
2.2165726351e+00 	 1.6709318056e-01 	 4.7772650266e+00 	 1.5355473392e+00 	 -2.8709466104e-04 
3.3219633780e+00 	 2.0650874692e-01 	 5.8818899040e+00 	 1.5352314034e+00 	 -2.8547368390e-04 
4.4260949489e+00 	 2.4625499883e-01 	 6.9851333387e+00 	 1.5349129911e+00 	 -2.9236402212e-04 
5.5292610625e+00 	 2.8633513899e-01 	 8.0874049066e+00 	 1.5345848769e+00 	 -3.0237470989e-04 
6.6317283516e+00 	 3.2675959283e-01 	 9.1890305465e+00 	 1.5342467348e+00 	 -3.1037007555e-04 
7.7337626126e+00 	 3.6754565555e-01 	 1.0290266682e+01 	 1.5339019870e+00 	 -3.1465756405e-04 
8.8356048046e+00 	 4.0870940803e-01 	 1.1391317256e+01 	 1.5335545251e+00 	 -3.1546313085e-04 
9.9374441934e+00 	 4.5025881124e-01 	 1.2492346263e+01 	 1.5332079834e+00 	 -3.1308206807e-04 
1.1039414411e+01 	 4.9219265357e-01 	 1.3593484539e+01 	 1.5328656779e+00 	 -3.0773642854e-04 
1.2141607918e+01 	 5.3450298154e-01 	 1.4694833568e+01 	 1.5325308943e+00 	 -2.9929442349e-04 
1.3244092791e+01 	 5.7717747664e-01 	 1.5796469090e+01 	 1.5322072031e+00 	 -2.8742604758e-04 
1.4346922122e+01 	 6.2020003763e-01 	 1.6898445411e+01 	 1.5318985679e+00 	 -2.7179631903e-04 
1.5450136160e+01 	 6.6354995783e-01 	 1.8000799847e+01 	 1.5316092636e+00 	 -2.5221812897e-04 
1.6553761791e+01 	 7.0720090500e-01 	 1.9103556500e+01 	 1.5313436667e+00 	 -2.2866596607e-04 
1.7657812683e+01 	 7.5112114409e-01 	 2.0206729123e+01 	 1.5311061853e+00 	 -2.0117852569e-04 
1.8762292254e+01 	 7.9527370491e-01 	 2.1310323100e+01 	 1.5309010496e+00 	 -1.6999048045e-04 
1.9867197837e+01 	 8.3961644171e-01 	 2.2414337723e+01 	 1.5307323024e+00 	 -1.3522567593e-04 
2.0972525537e+01 	 8.8410277402e-01 	 2.3518770212e+01 	 1.5306038389e+00 	 -9.7051898302e-05 
2.2078266610e+01 	 9.2868217740e-01 	 2.4623613620e+01 	 1.5305193293e+00 	 -5.5721650233e-05 
2.3184406964e+01 	 9.7330055445e-01 	 2.5728856251e+01 	 1.5304820961e+00 	 -1.1620705600e-05 
2.4290929065e+01 	 1.0179007070e+00 	 2.6834482969e+01 	 1.5304949537e+00 	 3.4708525872e-05 
2.5397814393e+01 	 1.0624230907e+00 	 2.7940476384e+01 	 1.5305599805e+00 	 8.2467999937e-05 
2.6505043867e+01 	 1.1068069792e+00 	 2.9046817798e+01 	 1.5306782709e+00 	 1.3072051230e-04 
2.7612596620e+01 	 1.1509918148e+00 	 3.0153487952e+01 	 1.5308498795e+00 	 1.7853986877e-04 
2.8720451871e+01 	 1.1949185200e+00 	 3.1260467627e+01 	 1.5310738491e+00 	 2.2499388760e-04 
2.9828589245e+01 	 1.2385313787e+00 	 3.2367738026e+01 	 1.5313476083e+00 	 2.6801380930e-04 
3.0936989137e+01 	 1.2817794086e+00 	 3.3475280901e+01 	 1.5316674478e+00 	 3.0838129146e-04 
3.2045631929e+01 	 1.3246147872e+00 	 3.4583078717e+01 	 1.5320309447e+00 	 3.4655541329e-04 
